no,dosya,grup,bayt,sha256,kaynak,durum
1,00_BURADAN_BASLA.md,00_REHBER,913,ebcf8a06332f476e95ebc854ca9c88b3251559f47b649fc729d9ec337ebca81b,Bu arşiv turunda üretildi,Yeni belge / envanter
2,01_BELGELER/P-011_COOKIE1_Karar_ve_Degisim_Kaydi.csv,01_BELGELER,1282,82b98db00bcad4317615bcbe2d291b0623c8dd36d2a9fadf80d814e86c59fbcb,Bu arşiv turunda üretildi,Yeni belge / envanter
3,01_BELGELER/P-011_COOKIE1_Proje_Belgesi_v1.0.docx,01_BELGELER,47459,534c67cd86b5dd2004a16be133d5aff24eb4579a4f65d8c62691ad3191810d1c,Bu arşiv turunda üretildi,Yeni belge / envanter
4,01_BELGELER/P-011_COOKIE1_Proje_Belgesi_v1.0.html,01_BELGELER,23507,aa91a344ed9abbd6e20fdb249627c5c593460107c5ccbce64974ff14394636f9,Bu arşiv turunda üretildi,Yeni belge / envanter
5,01_BELGELER/P-011_COOKIE1_Proje_Belgesi_v1.0.md,01_BELGELER,19004,a846a3af0b221734b92f332686d5d717210a05231b908dc732e0f16bd9e63975,Bu arşiv turunda üretildi,Yeni belge / envanter
6,02_WEB/NAVIAR-CARE_P-011_STUDIO_DEMO.html,02_WEB,75399,26f0526041fc146d10d22943794b91957b815fa1bd427f8446171480b62f1a8e,/NAVIAR-CARE_P-011_STUDIO_DEMO.html,Özgün içerik korundu
7,03_KAYNAK_v0.4.0/.env.example,03_KAYNAK_v0.4.0,411,eb8da2fbb4df09aaaad6bd1d8f4739b25e9dec229708d80fe251d79cc0112661,naviar-care-studio/.env.example,Özgün içerik korundu
8,03_KAYNAK_v0.4.0/.gitignore,03_KAYNAK_v0.4.0,31,70bd0d85bedeb863b686352082cf3c644f9607e8e080883ba44c4cc9975cfb3d,naviar-care-studio/.gitignore,Özgün içerik korundu
9,03_KAYNAK_v0.4.0/README.md,03_KAYNAK_v0.4.0,7214,26116048e9111f61fc1777c75543bd31c2d4782758b729eab9ec8ba16219db63,naviar-care-studio/README.md,Özgün içerik korundu
10,03_KAYNAK_v0.4.0/api/index.mjs,03_KAYNAK_v0.4.0,197,fbc280dcc257151d8d0b66419b1ea0f84b323031b135e02c317d0d5db23f70c0,naviar-care-studio/api/index.mjs,Özgün içerik korundu
11,03_KAYNAK_v0.4.0/build.mjs,03_KAYNAK_v0.4.0,815,72c1549307d298ff7b89c3269009639b675f70cee04de52c9056286ec4137879,naviar-care-studio/build.mjs,Özgün içerik korundu
12,03_KAYNAK_v0.4.0/deliverables/NAVIAR-CARE_P-011_STUDIO_DEMO.html,03_KAYNAK_v0.4.0,75399,26f0526041fc146d10d22943794b91957b815fa1bd427f8446171480b62f1a8e,naviar-care-studio/deliverables/NAVIAR-CARE_P-011_STUDIO_DEMO.html,Özgün içerik korundu
13,03_KAYNAK_v0.4.0/deliverables/NAVIAR-CARE_P-011_STUDIO_RAPORU.md,03_KAYNAK_v0.4.0,15222,2267777fb635af7411079d05209b9fa896dc27bbb25d00aa9f8c4f2c909f57b0,naviar-care-studio/deliverables/NAVIAR-CARE_P-011_STUDIO_RAPORU.md,Özgün içerik korundu
